id,code,affiliate_name,abbreviation,location,num_department,num_authors,SINTA_score_3yr,SINTA_score_overall
1643,043282,STIKES Widya Dharma Husada Tangerang,STIKES WDH,"KOTA TANGERANG - BANTEN, ID",7,161,69.688,99.168
586,011008,Universitas Medan Area,UMA,"KOTA MEDAN - SUMATERA UTARA, ID",23,306,69.685,136.415
1883,051022,Universitas Aisyiyah Yogyakarta,UNISA YOGYAKARTA,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",23,273,68.653,147.105
2896,171007,Universitas Lancang Kuning,UNILAK,"KOTA PEKANBARU - RIAU, ID",37,352,68.278,132.513
10,001056,Universitas Tidar,UNTIDAR,"KOTA MAGELANG - JAWA TENGAH, ID",32,404,68.147,130.749
542,005006,Politeknik Negeri Sriwijaya,POLSRI,"KOTA PALEMBANG - SUMATERA SELATAN, ID",38,674,68.073,169.532
518,001055,Universitas Sembilanbelas November Kolaka,USN KOLAKA,"KAB. KOLAKA - SULAWESI TENGGARA, ID",30,339,67.396,107.797
2077,071049,Universitas PGRI Adi Buana Surabaya,UNIPA SURABAYA,"KOTA SURABAYA - JAWA TIMUR, ID",34,316,67.125,149.768
4401,385005,Politeknik Pariwisata Bali,POLTEKPAR BALI,"KAB. BADUNG - BALI, ID",13,120,66.413,94.761
3134,111003,Universitas Islam Kalimantan Muhammad Arsyad Al Banjari,UNISKA MAB BANJARMASIN,"KOTA BANJARMASIN - KALIMANTAN SELATAN, ID",27,417,64.826,160.844
2054,071025,Universitas Merdeka Malang,UNMER MALANG,"KOTA MALANG - JAWA TIMUR, ID",32,427,62.555,145.411
514,001052,Universitas Maritim Raja Ali Haji,UMRAH,"KOTA TANJUNG PINANG - KEPULAUAN RIAU, ID",31,331,62.146,130.067
1063,031017,Universitas 17 Agustus 1945 Jakarta,UTA 45 JAKARTA,"KOTA ADM. JAKARTA UTARA - DKI JAKARTA, ID",18,150,61.709,110.882
536,002013,Institut Teknologi Kalimantan,ITK,"KOTA BALIKPAPAN - KALIMANTAN TIMUR, ID",22,324,61.449,103.513
510,001049,Universitas Bangka Belitung,UBB,"KOTA PANGKAL PINANG - KEPULAUAN BANGKA BELITUNG, ID",31,318,61.290,134.352
600,011033,Universitas Prima Indonesia,UNPRI,"KOTA MEDAN - SUMATERA UTARA, ID",51,677,60.808,144.717
8272,091058,Universitas Muhammadiyah Sidenreng Rappang,UMS RAPPANG,"KAB. SIDENRENG RAPPANG - SULAWESI SELATAN, ID",20,139,60.774,93.535
4427,405016,Poltekkes Kemenkes Surabaya,POLTEKKES KEMENKES SURABAYA,"KOTA SURABAYA - JAWA TIMUR, ID",22,293,59.969,109.879
1881,051019,Universitas Mercu Buana Yogyakarta,UMB YOGYAKARTA,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",17,172,59.849,110.974
1414,041026,Universitas Swiss German,SGU,"KOTA TANGERANG - BANTEN, ID",12,65,58.822,125.654
1397,041006,Universitas Katolik Parahyangan,UNPAR,"KOTA BANDUNG - JAWA BARAT, ID",43,471,58.768,184.607
1511,042016,Institut Bisnis Dan Informatika Kesatuan,IBI KESATUAN,"KOTA BOGOR - JAWA BARAT, ID",11,152,58.268,107.653
2041,071009,Universitas Wijaya Kusuma Surabaya,UWKS,"KOTA SURABAYA - JAWA TIMUR, ID",32,334,58.184,134.134
546,005010,Politeknik Negeri Bali,PNB,"KAB. BADUNG - BALI, ID",35,492,57.848,129.740
2573,091049,Universitas Bosowa,UNIVERSITAS BOSOWA MAKASSAR,"KOTA MAKASSAR - SULAWESI SELATAN, ID",42,301,56.379,131.539
545,005009,Politeknik Negeri Padang,PNP,"KOTA PADANG - SUMATERA BARAT, ID",37,456,56.353,128.344
2373,081010,Universitas Muhammadiyah Mataram,UMMAT,"KOTA MATARAM - NUSA TENGGARA BARAT, ID",35,319,55.162,97.854
548,005012,Politeknik Negeri Ujung Pandang,PNUP,"KOTA MAKASSAR - SULAWESI SELATAN, ID",42,427,54.452,138.977
4402,385006,Politeknik Pariwisata NHI Bandung,POLTEKPAR NHI BANDUNG,"KOTA BANDUNG - JAWA BARAT, ID",11,161,54.269,111.070
528,041027,Universitas Komputer Indonesia,UNIKOM,"KOTA BANDUNG - JAWA BARAT, ID",29,242,53.762,152.136
2084,071056,Universitas Hang Tuah,UHT,"KOTA SURABAYA - JAWA TIMUR, ID",23,320,53.443,114.089
587,011009,Universitas Katolik Santo Thomas,UST MEDAN,"KOTA MEDAN - SUMATERA UTARA, ID",23,186,52.652,110.268
8244402,031069,Universitas Nusa Mandiri,UNM,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",7,154,52.640,132.400
1411,041023,Universitas Galuh,UNIGAL,"KAB. CIAMIS - JAWA BARAT, ID",26,309,51.732,103.927
1107,031063,Universitas Prasetiya Mulya,PRASMUL,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",13,157,51.627,128.424
1470,042013,Institut Pendidikan Indonesia Garut,IPI GARUT,"KAB. GARUT - JAWA BARAT, ID",14,122,51.557,81.426
1990,061037,Universitas Islam Nahdlatul Ulama Jepara,UNISNU JEPARA,"KAB. JEPARA - JAWA TENGAH, ID",20,159,51.252,110.865
1878,051015,Universitas PGRI Yogyakarta,UPY,"KAB. BANTUL - DAERAH ISTIMEWA YOGYAKARTA, ID",29,250,51.236,99.722
856,021024,Universitas Indo Global Mandiri,UIGM,"KOTA PALEMBANG - SUMATERA SELATAN, ID",20,171,50.754,114.231
1428,041040,Universitas Muhammadiyah Sukabumi,UMMI,"KOTA SUKABUMI - JAWA BARAT, ID",24,166,50.108,87.005
2125,071091,Universitas PGRI Madiun,UNIPMA,"KOTA MADIUN - JAWA TIMUR, ID",30,292,49.928,118.962
1906,051024,Universitas Amikom Yogyakarta,-,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",18,281,49.806,118.632
4820,071094,Universitas Nurul Jadid,UNUJA,"KAB. PROBOLINGGO - JAWA TIMUR, ID",22,166,49.630,76.460
1426,041038,Universitas Kuningan,UNIKU,"KAB. KUNINGAN - JAWA BARAT, ID",21,183,49.611,98.684
609,011045,Universitas Sari Mutiara Indonesia,USM-INDONESIA,"KOTA MEDAN - SUMATERA UTARA, ID",25,231,49.419,109.407
2121,072004,Institut Teknologi Nasional Malang,ITN,"KOTA MALANG - JAWA TIMUR, ID",17,203,48.567,135.570
