id,code,affiliate_name,abbreviation,location,num_department,num_authors,SINTA_score_3yr,SINTA_score_overall
28,061019,Universitas Muhammadiyah Purwokerto,UMP,"KAB. BANYUMAS - JAWA TENGAH, ID",62,451,111.725,248.606
18,061038,Universitas PGRI Semarang,UPGRIS,"KOTA SEMARANG - JAWA TENGAH, ID",29,335,111.535,234.584
2098,071071,Universitas Ciputra Surabaya,UC,"KOTA SURABAYA - JAWA TIMUR, ID",21,266,110.871,258.649
426,005018,Politeknik Elektronika Negeri Surabaya,PENS,"KOTA SURABAYA - JAWA TIMUR, ID",25,236,110.413,243.073
3023,101030,Universitas Adiwangsa Jambi,UNAJA,"KOTA JAMBI - JAMBI, ID",19,143,108.146,155.807
17,061004,Universitas Muhammadiyah Magelang,UNIMMA,"KOTA MAGELANG - JAWA TENGAH, ID",23,176,106.883,204.011
407,031037,Universitas Gunadarma,GUNADARMA,"KOTA DEPOK - JAWA BARAT, ID",54,1,106.376,233.403
409,031007,Universitas Katolik Indonesia Atma Jaya,UAJ,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",41,439,106.040,277.436
537,002014,Institut Teknologi Sumatera,ITERA,"KAB. LAMPUNG SELATAN - LAMPUNG, ID",42,761,104.557,212.663
1449,041062,Universitas Buana Perjuangan Karawang,UBP KARAWANG,"KAB. KARAWANG - JAWA BARAT, ID",12,234,102.103,154.504
1082,031036,Universitas Bhayangkara Jakarta Raya,UBHARA JAYA,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",18,352,101.549,177.143
1097,031051,Universitas Multimedia Nusantara Jakarta,UMN,"KAB. TANGERANG - BANTEN, ID",17,328,100.517,201.437
520,001057,Universitas Siliwangi,UNSIL,"KOTA TASIKMALAYA - JAWA BARAT, ID",37,499,91.506,195.068
517,001054,Universitas Sulawesi Barat,UNSULBAR,"KAB. MAJENE - SULAWESI BARAT, ID",45,591,88.453,137.406
487,001014,Universitas Nusa Cendana,UNDANA,"KOTA KUPANG - NUSA TENGGARA TIMUR, ID",68,1,88.280,241.228
21,061017,Universitas Semarang,U S M,"KOTA SEMARANG - JAWA TENGAH, ID",16,369,87.994,171.248
511,001050,Universitas Borneo Tarakan,UBT,"KOTA TARAKAN - KALIMANTAN UTARA, ID",34,366,86.453,162.904
1080,031033,Universitas Esa Unggul,UEU,"KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",39,646,85.760,204.111
3528,201014,Universitas Islam Negeri Raden Intan Lampung,UIN RIL,"KOTA BANDAR LAMPUNG - LAMPUNG, ID",49,544,84.758,168.233
626,041072,Universitas Pelita Bangsa,UPB,"KAB. BEKASI - JAWA BARAT, ID",16,298,84.516,102.207
20,061031,Universitas Dian Nuswantoro,UDINUS,"KOTA SEMARANG - JAWA TENGAH, ID",33,414,82.778,184.964
2110,071082,Universitas Nahdlatul Ulama Sidoarjo,UNUSIDA,"KAB. SIDOARJO - JAWA TIMUR, ID",12,93,82.677,142.134
3516,201007,Universitas Islam Negeri Sunan Ampel,UINSA,"KOTA SURABAYA - JAWA TIMUR, ID",63,681,82.378,158.718
2899,171011,Universitas Internasional Batam,UIB,"KOTA BATAM - KEPULAUAN RIAU, ID",11,195,81.847,118.669
61,061027,Universitas Wahid Hasyim,UNWAHAS,"KOTA SEMARANG - JAWA TENGAH, ID",25,234,81.599,141.809
526,001062,Universitas Pembangunan Nasional Veteran Yogyakarta,-,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",34,597,81.283,213.741
2114,071085,Universitas Darussalam Gontor,UNIDA GONTOR,"KAB. PONOROGO - JAWA TIMUR, ID",25,238,81.013,139.433
1409,041021,Universitas Jenderal Achmad Yani,UNJANI,"KOTA CIMAHI - JAWA BARAT, ID",44,650,80.876,165.076
52,061026,Universitas Muhammadiyah Semarang,UNIMUS,"KOTA SEMARANG - JAWA TENGAH, ID",38,408,79.706,177.333
4479,471001,Universitas Pertahanan RI,UNHAN,"KAB. BOGOR - JAWA BARAT, ID",38,566,79.061,147.150
521,001058,Universitas Teuku Umar,UTU,"KAB. ACEH BARAT - ACEH, ID",28,472,78.389,144.163
505,001044,Universitas Khairun,UNIVERSITAS KHAIRUN,"KOTA TERNATE - MALUKU UTARA, ID",54,796,77.932,163.952
515,001053,Universitas Samudra,UNSAM,"KOTA LANGSA - ACEH, ID",32,391,77.557,142.641
4424,405013,Poltekkes Kemenkes Semarang,POLKESMAR,"KOTA SEMARANG - JAWA TENGAH, ID",34,381,76.099,135.341
2087,071059,Universitas Muhammadiyah Gresik,UMG,"KAB. GRESIK - JAWA TIMUR, ID",34,204,76.077,140.047
539,005002,Politeknik Negeri Jakarta,PNJ,"KOTA DEPOK - JAWA BARAT, ID",39,449,75.695,143.322
4632,111024,Universitas Muhammadiyah Kalimantan Timur,UMKT,"KOTA SAMARINDA - KALIMANTAN TIMUR, ID",25,222,75.662,131.412
1094,031049,Universitas Indraprasta PGRI,UNINDRA,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",22,1,75.618,166.637
26,061009,Universitas Muria Kudus,UMK,"KAB. KUDUS - JAWA TENGAH, ID",21,263,75.250,150.946
1487,042020,Institut Teknologi Garut,ITG,"KAB. GARUT - JAWA BARAT, ID",5,60,74.787,102.230
12,005005,Politeknik Negeri Semarang,POLINES,"KOTA SEMARANG - JAWA TENGAH, ID",27,446,74.746,183.982
3518,201009,Universitas Islam Negeri Raden Fatah Palembang,UIN RFP,"KOTA PALEMBANG - SUMATERA SELATAN, ID",48,659,74.195,134.125
422,051012,Universitas Sanata Dharma,USD,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",40,405,73.971,217.151
3519,201011,Universitas Islam Negeri Ar-Raniry Banda Aceh,UINAR,"KOTA BANDA ACEH - ACEH, ID",54,676,72.800,160.887
2060,071032,Universitas Muhammadiyah Jember,UNMUH JEMBER,"KAB. JEMBER - JAWA TIMUR, ID",34,332,72.553,165.754
1868,051002,Universitas Sarjanawiyata Tamansiswa,UST,"KOTA YOGYAKARTA - DAERAH ISTIMEWA YOGYAKARTA, ID",24,307,72.175,163.463
2115,071086,Universitas Maarif Hasyim Latif,UMAHA,"KAB. SIDOARJO - JAWA TIMUR, ID",16,100,71.954,99.457
447,005019,Politeknik Negeri Jember,POLIJE,"KAB. JEMBER - JAWA TIMUR, ID",38,580,71.582,206.346
1429,041041,Universitas Presiden,-,"KAB. BEKASI - JAWA BARAT, ID",26,201,71.438,189.811
391,041007,Universitas Kristen Maranatha,UKM,"KOTA BANDUNG - JAWA BARAT, ID",32,406,70.769,164.467
848,021016,Universitas PGRI Palembang,UNIVERSITAS PGRI PLG,"KOTA PALEMBANG - SUMATERA SELATAN, ID",34,311,70.693,138.715
408,071002,Universitas Kristen Petra,UK PETRA,"KOTA SURABAYA - JAWA TIMUR, ID",25,285,70.162,207.609
1422,041034,Universitas Widyatama,UTAMA,"KOTA BANDUNG - JAWA BARAT, ID",24,298,69.972,179.188
579,011002,Universitas HKBP Nommensen,UHKBPN,"KOTA MEDAN - SUMATERA UTARA, ID",33,300,69.968,112.138
